Name,Subsidized units available,% Minority,%White Non-Hispanic
Richland County,107,0,0
Toole County,7,0,0
Sweet Grass County,3,0,0
Stillwater County,9,0,0
Sheridan County,9,0,0
Prairie County,4,0,0
Powder River County,3,0,0
Phillips County,9,0,0
Petroleum County,1,0,0
Meagher County,7,0,0
McCone County,4,0,0
Madison County,13,0,0
Judith Basin County,1,0,0
Jefferson County,13,0,0
Granite County,12,0,0
Chouteau County,11,0,0
Carter County,3,0,0
Powell County,21,0,100
Pondera County,25,0,100
Deer Lodge County,33,0,100
Lincoln County,53,5,95
Carbon County,26,5,95
Beaverhead County,26,5,95
Fergus County,116,7,93
Sanders County,32,8,92
Custer County,63,8,92
Broadwater County,16,8,92
Teton County,15,9,91
Park County,102,9,91
Silver Bow County,784,10,90
Ravalli County,129,10,90
Mineral County,26,10,90
Flathead County,325,10,90
Lewis and Clark County,697,12,88
Dawson County,57,12,88
Wheatland County,21,13,88
Gallatin County,402,15,85
Missoula County,1503,17,83
Rosebud County,15,18,82
Cascade County,953,27,73
Yellowstone County,1381,28,72
Musselshell County,26,30,70
Lake County,121,30,70
Valley County,28,43,57
Hill County,186,48,52
Big Horn County,26,65,35
Blaine County,16,83,17
Roosevelt County,26,85,15
Glacier County,20,87,13
