Name,Subsidized units available,% Minority,%White Non-Hispanic
Warren County,70,0,0
Snyder County,292,0,0
Juniata County,5,0,0
Clinton County,5,0,0
Cameron County,13,0,0
Greene County,33,0,100
Wyoming County,395,2,98
Susquehanna County,254,2,98
Jefferson County,310,2,98
Sullivan County,39,3,97
Huntingdon County,175,3,97
Elk County,219,3,97
Bradford County,267,3,97
Potter County,295,4,96
Forest County,23,4,96
Bedford County,312,4,96
Tioga County,214,5,95
Somerset County,95,5,95
Mc Kean County,482,5,95
Armstrong County,287,5,95
Clearfield County,328,6,94
Clarion County,496,7,93
Fulton County,140,8,92
Venango County,714,9,91
Perry County,180,9,91
Montour County,154,9,91
Columbia County,436,9,91
Carbon County,440,9,91
Butler County,1584,9,91
Wayne County,288,10,90
Indiana County,590,12,88
Crawford County,311,12,88
Mifflin County,222,13,87
Schuylkill County,1045,15,85
Centre County,704,15,85
Lawrence County,433,18,82
Northumberland County,932,20,80
Fayette County,1175,20,80
Adams County,625,20,80
Blair County,1447,21,79
Union County,535,24,76
Westmoreland County,1871,26,74
Washington County,1005,28,72
Cumberland County,1170,30,70
Lackawanna County,2089,31,69
Pike County,427,34,66
Franklin County,386,35,65
Erie County,2208,35,65
Bucks County,3646,36,64
Cambria County,960,43,57
Beaver County,808,44,56
Luzerne County,2621,45,55
Lycoming County,677,46,54
Mercer County,388,48,52
Northampton County,2024,50,50
Chester County,2285,63,37
Lebanon County,782,64,36
Lehigh County,3325,69,31
York County,1637,70,30
Monroe County,514,70,30
Lancaster County,1998,72,28
Berks County,1326,72,28
Montgomery County,3005,73,27
Allegheny County,14143,76,24
Delaware County,4596,80,20
Dauphin County,2650,82,18
Philadelphia County,22746,92,8
