Name,Subsidized units available,% Minority,%White Non-Hispanic
Union County,8,0,0
Liberty County,8,0,0
Lafayette County,11,0,0
Gilchrist County,8,0,0
Dixie County,1,0,0
Holmes County,195,10,90
Okeechobee County,27,17,83
Citrus County,283,22,78
Franklin County,17,23,77
Walton County,401,31,69
Charlotte County,330,37,63
Okaloosa County,1057,39,61
Indian River County,410,45,55
Calhoun County,14,45,55
Washington County,46,46,54
Baker County,150,46,54
Santa Rosa County,348,48,52
Pasco County,1805,48,52
Flagler County,267,52,48
Martin County,89,55,45
Suwannee County,83,56,44
Levy County,148,57,43
Columbia County,212,58,42
Sarasota County,1703,61,39
Hernando County,425,62,38
St. Johns County,120,64,36
Nassau County,67,64,36
Monroe County,480,64,36
Bay County,1150,64,36
Pinellas County,9204,66,34
Clay County,200,67,33
Wakulla County,123,68,32
Jackson County,148,68,32
Volusia County,3630,69,31
Bradford County,105,69,31
Lee County,2959,71,29
Brevard County,3109,71,29
Lake County,490,74,26
Highlands County,94,74,26
Sumter County,22,75,25
Collier County,494,75,25
Manatee County,1910,76,24
Putnam County,406,77,23
Alachua County,3069,78,22
Marion County,1460,82,18
Gulf County,22,82,18
Escambia County,2301,84,16
Taylor County,99,87,13
Seminole County,834,87,13
Polk County,2218,87,13
Palm Beach County,8697,87,13
Orange County,5566,89,11
Hamilton County,25,89,11
Duval County,7460,89,11
St. Lucie County,842,90,10
Hillsborough County,11374,90,10
Leon County,2870,91,9
Madison County,125,92,8
Broward County,12138,93,7
Osceola County,288,95,5
Jefferson County,158,95,5
Hendry County,48,95,5
Gadsden County,271,97,3
Miami-Dade County,29459,98,2
