Name,Subsidized units available,% Minority,%White Non-Hispanic
Woods County,1,0,0
Washita County,1,0,0
Tillman County,2,0,0
Texas County,4,0,0
Pushmataha County,2,0,0
Pawnee County,8,0,0
Okfuskee County,5,0,0
Nowata County,3,0,0
Noble County,3,0,0
Murray County,4,0,0
Marshall County,7,0,0
Love County,3,0,0
Latimer County,2,0,0
Kiowa County,2,0,0
Johnston County,2,0,0
Hughes County,7,0,0
Haskell County,5,0,0
Harmon County,1,0,0
Grant County,1,0,0
Ellis County,1,0,0
Craig County,3,0,0
Cotton County,1,0,0
Caddo County,4,0,0
Blaine County,1,0,0
Beckham County,5,0,0
Atoka County,4,0,0
Alfalfa County,2,0,0
Woodward County,15,0,100
Delaware County,14,7,93
Le Flore County,45,11,89
Bryan County,53,14,86
Kay County,145,15,85
Ottawa County,259,17,83
Mayes County,31,17,83
Pittsburg County,90,18,82
Garvin County,18,18,82
Rogers County,143,19,81
Cherokee County,40,21,79
Sequoyah County,60,22,78
Creek County,271,26,74
McClain County,75,27,73
Pontotoc County,122,28,72
Stephens County,41,28,73
Wagoner County,197,31,69
Pottawatomie County,580,32,68
Payne County,730,32,68
Canadian County,500,32,68
Seminole County,355,34,66
Grady County,27,35,65
Garfield County,104,37,63
McIntosh County,29,39,61
Washington County,41,40,60
McCurtain County,366,41,59
Lincoln County,18,41,59
Cleveland County,1760,42,58
Carter County,74,46,54
Logan County,116,49,51
Okmulgee County,173,51,49
Adair County,33,52,48
Custer County,21,55,45
Muskogee County,960,56,44
Choctaw County,183,64,36
Tulsa County,7905,69,31
Comanche County,612,74,26
Oklahoma County,10971,78,22
Osage County,439,81,19
Jackson County,28,81,19
