Name,Subsidized units available,% Minority,%White Non-Hispanic
Hancock County,327,0,0
Brooke County,213,0,0
Pocahontas County,8,0,0
Pendleton County,2,0,0
Doddridge County,10,0,0
Tyler County,17,0,100
Ritchie County,21,0,100
Pleasants County,11,0,100
Morgan County,15,0,100
Lincoln County,225,0,100
Clay County,17,0,100
Calhoun County,21,0,100
Braxton County,73,0,100
Boone County,272,0,100
Wyoming County,104,1,99
Wetzel County,84,1,99
Preston County,147,1,99
Taylor County,48,2,98
Lewis County,43,2,98
Jackson County,654,2,98
Mingo County,275,3,97
Mason County,130,3,97
Roane County,152,3,98
Tucker County,28,4,96
Webster County,130,5,95
Wayne County,655,5,95
Nicholas County,145,5,95
Logan County,324,5,95
Gilmer County,79,5,95
Monroe County,42,6,94
Wood County,1195,7,93
Harrison County,631,7,93
Upshur County,108,8,92
Cabell County,1393,8,92
Putnam County,485,9,91
Marshall County,107,9,91
Grant County,65,9,91
Hampshire County,53,10,90
Summers County,161,12,88
Wirt County,32,13,87
Greenbrier County,215,14,86
Barbour County,134,14,86
Mineral County,140,16,84
Fayette County,308,16,84
Randolph County,387,18,82
Hardy County,27,19,81
Monongalia County,659,21,79
Marion County,345,22,78
McDowell County,147,26,74
Ohio County,571,27,73
Raleigh County,1225,30,70
Kanawha County,2655,31,69
Jefferson County,77,35,65
Berkeley County,256,35,65
Mercer County,416,40,60
