Name,Subsidized units available,% Minority,%White Non-Hispanic
Williams County,136,0,0
Ward County,956,0,0
Rolette County,67,0,0
Ramsey County,176,0,0
Nelson County,62,0,0
McKenzie County,35,0,0
Griggs County,46,0,0
Eddy County,61,0,0
Towner County,23,0,0
Steele County,3,0,0
Sheridan County,3,0,0
Renville County,4,0,0
Oliver County,6,0,0
Mountrail County,77,0,0
Logan County,3,0,0
Kidder County,1,0,0
Hettinger County,5,0,0
Grant County,12,0,0
Golden Valley County,3,0,0
Emmons County,8,0,0
Dunn County,8,0,0
Divide County,4,0,0
Cavalier County,31,0,0
Burke County,2,0,0
Benson County,19,0,0
Adams County,15,0,0
Wells County,62,0,100
Sargent County,27,0,100
Mercer County,32,0,100
McLean County,30,0,100
LaMoure County,34,0,100
Ransom County,95,4,96
Bowman County,41,4,96
Dickey County,80,5,95
Barnes County,221,7,93
Walsh County,104,8,92
McIntosh County,44,8,92
Pierce County,70,10,90
McHenry County,43,11,89
Foster County,54,11,89
Pembina County,180,14,86
Morton County,636,15,85
Stark County,409,16,84
Traill County,54,17,83
Richland County,137,18,82
Stutsman County,763,19,81
Burleigh County,1152,22,78
Bottineau County,40,26,74
Cass County,2294,31,69
Grand Forks County,1477,32,68
