Name,Subsidized units available,% Minority,%White Non-Hispanic
Washington County,8,0,0
Teton County,9,0,0
Power County,8,0,0
Oneida County,3,0,0
Lincoln County,5,0,0
Fremont County,10,0,0
Franklin County,5,0,0
Custer County,2,0,0
Caribou County,2,0,0
Butte County,1,0,0
Boundary County,8,0,0
Boise County,8,0,0
Benewah County,6,0,0
Bear Lake County,1,0,0
Adams County,2,0,0
Valley County,12,0,100
Lemhi County,21,0,100
Bonner County,97,2,98
Jerome County,44,3,97
Idaho County,45,3,97
Shoshone County,27,4,96
Gem County,36,5,95
Clearwater County,44,5,95
Nez Perce County,364,7,93
Lewis County,31,7,93
Gooding County,14,8,92
Kootenai County,1184,9,91
Latah County,207,10,90
Jefferson County,24,14,86
Payette County,28,17,83
Bingham County,144,17,83
Bannock County,790,17,83
Twin Falls County,511,18,82
Elmore County,30,19,81
Bonneville County,842,19,81
Madison County,53,22,78
Ada County,2206,22,78
Blaine County,38,24,76
Minidoka County,26,26,74
Owyhee County,18,32,68
Cassia County,80,34,66
Canyon County,883,36,64
