Name,Subsidized units available,% Minority,%White Non-Hispanic
Marion County,216,0,0
Calhoun County,7,0,0
Pickens County,268,38,62
Horry County,1393,65,35
Laurens County,223,70,30
Newberry County,276,71,29
Oconee County,70,73,27
Greenwood County,974,75,25
Anderson County,1000,76,24
York County,967,79,21
Abbeville County,68,79,21
Union County,274,81,19
Edgefield County,209,81,19
Cherokee County,171,81,19
Lexington County,942,82,18
Spartanburg County,2660,84,16
Chester County,296,84,16
Saluda County,127,85,15
Beaufort County,624,85,15
McCormick County,40,86,14
Greenville County,3324,86,14
Kershaw County,189,87,13
Lancaster County,254,88,12
Sumter County,934,91,9
Marlboro County,198,91,9
Dillon County,135,91,9
Orangeburg County,104,92,8
Georgetown County,167,92,8
Berkeley County,651,92,8
Hampton County,17,93,7
Darlington County,311,93,7
Aiken County,1069,93,7
Florence County,1030,94,6
Chesterfield County,182,94,6
Charleston County,4172,94,6
Richland County,4519,95,5
Jasper County,23,95,5
Fairfield County,133,95,5
Dorchester County,934,95,5
Colleton County,146,95,5
Bamberg County,32,96,4
Lee County,78,97,3
Clarendon County,142,97,3
Williamsburg County,90,100,0
Barnwell County,37,100,0
Allendale County,46,100,0
