Name,Subsidized units available,% Minority,%White Non-Hispanic
Wyoming County,230,2,98
Essex County,415,2,98
Lewis County,342,3,97
Tioga County,282,4,96
St. Lawrence County,696,4,96
Allegany County,202,4,96
Yates County,161,5,95
Washington County,432,6,94
Schuyler County,98,6,94
Franklin County,726,6,94
Delaware County,715,6,94
Warren County,735,7,93
Schoharie County,283,7,93
Madison County,648,7,93
Herkimer County,764,8,92
Clinton County,818,9,91
Chenango County,366,9,91
Saratoga County,1854,11,89
Cortland County,300,11,89
Greene County,343,12,88
Steuben County,1024,13,87
Oswego County,1478,14,86
Fulton County,540,15,85
Cattaraugus County,600,15,85
Seneca County,447,16,84
Jefferson County,1159,16,84
Otsego County,241,17,83
Hamilton County,13,17,83
Livingston County,459,20,80
Wayne County,861,22,78
Orleans County,240,22,78
Rockland County,3975,23,77
Putnam County,565,23,77
Cayuga County,955,24,76
Genesee County,626,25,75
Ontario County,1326,29,71
Ulster County,2534,34,66
Chemung County,1163,35,65
Tompkins County,2298,36,64
Columbia County,566,37,63
Sullivan County,1390,38,62
Orange County,4666,38,62
Niagara County,2270,47,53
Broome County,1438,47,53
Montgomery County,882,49,51
Oneida County,3185,51,49
Chautauqua County,1176,51,49
Schenectady County,2191,57,43
Rensselaer County,2514,58,42
Dutchess County,3399,58,42
Onondaga County,5813,60,40
Suffolk County,9916,63,37
Kings County,53127,68,32
Albany County,4923,68,32
Monroe County,10397,70,30
Erie County,12414,74,26
Richmond County,3859,85,15
Queens County,14159,85,15
Nassau County,5213,86,14
Westchester County,16207,87,13
New York County,24718,92,8
Bronx County,62072,98,2
