Name,Subsidized units available,% Minority,%White Non-Hispanic
Lake County,147,0,0
Codington County,303,0,0
Turner County,5,0,0
Stanley County,6,0,0
Sanborn County,3,0,0
Roberts County,4,0,0
Potter County,2,0,0
Perkins County,9,0,0
Moody County,15,0,0
Miner County,7,0,0
McPherson County,5,0,0
McCook County,7,0,0
Marshall County,6,0,0
Kingsbury County,13,0,0
Hand County,7,0,0
Hamlin County,9,0,0
Faulk County,5,0,0
Dewey County,4,0,0
Deuel County,13,0,0
Corson County,5,0,0
Clark County,12,0,0
Campbell County,9,0,0
Bon Homme County,5,0,0
Bennett County,3,0,0
Aurora County,2,0,0
Day County,16,0,100
Butte County,112,8,93
Lawrence County,325,10,90
Spink County,70,14,86
Grant County,67,14,86
Meade County,149,18,82
Brookings County,383,18,82
Davison County,137,20,80
Fall River County,20,21,79
Yankton County,146,22,78
Tripp County,12,25,75
Beadle County,262,25,75
Brown County,551,26,74
Lincoln County,162,28,72
Minnehaha County,1867,35,65
Pennington County,1387,46,54
Clay County,299,48,52
Hughes County,235,58,42
Walworth County,114,60,40
