Name,Subsidized units available,% Minority,%White Non-Hispanic
Sierra County,7,0,0
Mono County,3,0,0
Modoc County,6,0,0
Amador County,64,10,90
Calaveras County,52,11,89
Mariposa County,92,13,87
Tuolumne County,201,14,86
Plumas County,147,14,86
Nevada County,584,15,85
Trinity County,17,18,82
Lassen County,105,18,82
El Dorado County,423,19,81
Del Norte County,652,19,81
Glenn County,75,20,80
Tehama County,378,22,78
Humboldt County,1382,22,78
Siskiyou County,230,23,77
Shasta County,2507,24,76
Mendocino County,1298,24,76
Lake County,243,24,76
Placer County,1162,27,73
Sonoma County,5023,30,70
San Luis Obispo County,2700,35,65
Butte County,2173,35,65
Inyo County,18,38,63
Napa County,1450,41,59
Marin County,2382,44,56
Yolo County,1882,45,55
Yuba County,488,48,52
Stanislaus County,4612,48,52
Sutter County,849,52,48
Colusa County,63,52,48
Santa Cruz County,5027,59,41
Santa Barbara County,7038,61,39
Ventura County,7271,63,37
San Diego County,31904,67,33
Riverside County,10185,68,32
San Francisco County,15751,69,31
San Mateo County,5128,70,30
Monterey County,4829,71,29
Tulare County,3083,73,27
Sacramento County,12953,73,27
Orange County,23895,73,27
Solano County,5634,74,26
Kings County,729,76,24
Kern County,3958,76,24
Los Angeles County,99178,78,22
Contra Costa County,10490,78,22
Merced County,2863,79,21
San Benito County,365,81,19
Santa Clara County,18890,82,18
San Joaquin County,5270,82,18
Madera County,781,84,16
Fresno County,13035,84,16
San Bernardino County,11650,85,15
Alameda County,25866,87,13
Imperial County,2059,96,4
