Name,Subsidized units available,% Minority,%White Non-Hispanic
Osage County,37,0,0
Miami County,136,0,0
Lyon County,146,0,0
Franklin County,148,0,0
Ford County,140,0,0
Coffey County,32,0,0
Wilson County,7,0,0
Wabaunsee County,1,0,0
Thomas County,3,0,0
Stevens County,4,0,0
Stanton County,2,0,0
Stafford County,1,0,0
Smith County,10,0,0
Sherman County,8,0,0
Sheridan County,3,0,0
Rice County,8,0,0
Republic County,1,0,0
Ottawa County,1,0,0
Osborne County,10,0,0
Nemaha County,5,0,0
Morton County,1,0,0
Mitchell County,8,0,0
Meade County,2,0,0
Marion County,4,0,0
Logan County,10,0,0
Linn County,4,0,0
Lincoln County,5,0,0
Lane County,1,0,0
Kiowa County,5,0,0
Kingman County,15,0,0
Kearny County,2,0,0
Jewell County,1,0,0
Haskell County,5,0,0
Harper County,10,0,0
Hamilton County,7,0,0
Greenwood County,10,0,0
Grant County,9,0,0
Ellsworth County,5,0,0
Elk County,5,0,0
Doniphan County,5,0,0
Dickinson County,12,0,0
Cloud County,5,0,0
Clark County,1,0,0
Cheyenne County,3,0,0
Chautauqua County,7,0,0
Chase County,1,0,0
Barber County,4,0,0
Anderson County,7,0,0
Rush County,16,0,100
Pottawatomie County,27,0,100
Phillips County,18,0,100
Norton County,18,0,100
Marshall County,22,0,100
Jefferson County,47,3,97
Clay County,117,4,96
Cherokee County,45,6,94
McPherson County,120,7,93
Scott County,14,8,92
Pratt County,42,8,92
Ellis County,139,8,92
Rooks County,18,9,91
Reno County,339,10,90
Brown County,53,10,90
Jackson County,45,11,89
Butler County,39,14,86
Barton County,132,16,84
Harvey County,93,17,83
Graham County,19,17,83
Pawnee County,19,19,81
Neosho County,49,20,80
Saline County,553,21,79
Atchison County,33,21,79
Crawford County,562,22,78
Allen County,38,22,78
Bourbon County,42,23,77
Sumner County,20,25,75
Douglas County,766,28,70
Russell County,29,28,72
Cowley County,137,28,72
Finney County,183,39,61
Leavenworth County,499,42,58
Labette County,27,42,58
Shawnee County,1361,46,54
Seward County,62,47,53
Montgomery County,173,50,50
Johnson County,1917,53,47
Riley County,489,56,44
Sedgwick County,3104,66,34
Geary County,117,69,31
Wyandotte County,1630,80,20
