Name,Subsidized units available,% Minority,%White Non-Hispanic
Tate County,2,0,0
Issaquena County,2,0,0
Calhoun County,4,0,0
Tishomingo County,22,13,87
Tippah County,34,29,71
Greene County,21,40,60
George County,109,41,59
Alcorn County,208,47,53
Hancock County,590,50,50
Smith County,26,52,48
Itawamba County,26,52,48
Union County,160,56,44
Prentiss County,68,56,44
Perry County,62,57,43
Pontotoc County,59,70,30
Franklin County,13,75,25
Harrison County,4731,79,21
Pearl River County,166,80,20
Lawrence County,77,82,18
Lee County,984,86,14
Jackson County,2545,86,14
Stone County,76,90,10
Monroe County,132,90,10
Lamar County,472,90,10
Clarke County,147,90,10
Rankin County,312,91,9
Lincoln County,181,91,9
Covington County,62,91,9
Newton County,74,93,7
Montgomery County,66,94,6
Marion County,100,94,6
Chickasaw County,83,94,6
Amite County,36,94,6
Webster County,69,95,5
Walthall County,97,95,5
Quitman County,71,95,5
Pike County,737,95,5
Neshoba County,155,95,5
Lafayette County,70,95,5
Jones County,326,95,5
Forrest County,924,95,5
Adams County,266,95,5
Scott County,70,96,4
Lowndes County,1101,96,4
Leake County,52,96,4
Lauderdale County,1221,96,4
Clay County,309,96,4
Carroll County,30,96,4
Oktibbeha County,495,97,3
Madison County,458,97,3
Leflore County,266,97,3
Jefferson Davis County,68,97,3
Winston County,206,98,2
Noxubee County,139,98,2
Jefferson County,62,98,2
Grenada County,313,98,2
DeSoto County,274,98,2
Attala County,133,98,2
Yazoo County,460,99,1
Washington County,844,99,1
Tunica County,227,99,1
Panola County,130,99,1
Hinds County,4909,99,1
Wilkinson County,48,100,0
Wayne County,33,100,0
Tallahatchie County,58,100,0
Sunflower County,307,100,0
Simpson County,16,100,0
Sharkey County,51,100,0
Marshall County,8,100,0
Kemper County,19,100,0
Jasper County,32,100,0
Humphreys County,144,100,0
Holmes County,73,100,0
Copiah County,100,100,0
Coahoma County,268,100,0
Claiborne County,43,100,0
Choctaw County,36,100,0
Warren County,551,100,0
Bolivar County,360,100,0
