Name,Subsidized units available,% Minority,%White Non-Hispanic
Lafayette County,55,0,0
Waushara County,11,0,0
Vernon County,12,0,0
Rusk County,10,0,0
Price County,12,0,0
Pepin County,2,0,0
Marquette County,7,0,0
Iron County,10,0,0
Forest County,5,0,0
Florence County,7,0,0
Clark County,4,0,0
Burnett County,8,0,0
Buffalo County,2,0,0
Vilas County,14,0,100
Taylor County,16,0,100
Juneau County,115,0,100
Jackson County,17,0,100
Polk County,55,2,98
Iowa County,100,2,98
Trempealeau County,226,3,97
Adams County,43,3,97
Waupaca County,84,4,96
Kewaunee County,28,4,96
Wood County,413,5,95
Washburn County,23,5,95
Chippewa County,446,5,95
Richland County,217,6,94
Lincoln County,43,6,94
Crawford County,39,6,94
Oneida County,186,7,93
Langlade County,169,7,93
Door County,258,7,93
Jefferson County,45,8,92
Green County,30,8,92
Oconto County,57,9,91
Portage County,262,10,90
Marinette County,235,10,90
Columbia County,107,10,90
Sauk County,360,11,89
Monroe County,253,11,89
Marathon County,656,11,89
Barron County,235,11,89
Sawyer County,205,12,88
Ozaukee County,137,12,88
Pierce County,83,13,87
Dunn County,98,13,87
Bayfield County,77,13,87
Douglas County,178,14,86
Ashland County,136,14,86
St. Croix County,269,15,85
Dodge County,162,15,85
Manitowoc County,179,16,84
Green Lake County,23,16,84
Eau Claire County,732,16,84
Walworth County,482,19,81
Washington County,486,20,80
Shawano County,62,20,80
Winnebago County,567,21,79
Outagamie County,720,21,79
Grant County,140,24,76
La Crosse County,207,25,75
Fond du Lac County,444,27,73
Calumet County,59,28,72
Waukesha County,1351,30,70
Brown County,3572,34,66
Sheboygan County,371,37,63
Rock County,1441,49,51
Kenosha County,1370,65,35
Dane County,3456,65,35
Racine County,1756,80,20
Milwaukee County,9987,86,14
