Name,Subsidized units available,% Minority,%White Non-Hispanic
Wilkinson County,9,0,0
Wilcox County,3,0,0
White County,4,0,0
Wheeler County,1,0,0
Webster County,1,0,0
Washington County,10,0,0
Warren County,7,0,0
Union County,7,0,0
Twiggs County,3,0,0
Treutlen County,3,0,0
Towns County,4,0,0
Tattnall County,3,0,0
Taliaferro County,1,0,0
Talbot County,6,0,0
Stewart County,1,0,0
Stephens County,7,0,0
Seminole County,13,0,0
Screven County,3,0,0
Schley County,1,0,0
Rabun County,1,0,0
Quitman County,1,0,0
Putnam County,10,0,0
Pike County,6,0,0
Pierce County,15,0,0
Pickens County,9,0,0
Oglethorpe County,13,0,0
Oconee County,10,0,0
Murray County,6,0,0
Montgomery County,9,0,0
Monroe County,6,0,0
Miller County,9,0,0
McIntosh County,9,0,0
Macon County,6,0,0
Lumpkin County,13,0,0
Long County,9,0,0
Lincoln County,6,0,0
Lamar County,9,0,0
Johnson County,4,0,0
Jenkins County,6,0,0
Jefferson County,6,0,0
Jackson County,15,0,0
Irwin County,6,0,0
Heard County,7,0,0
Hart County,15,0,0
Harris County,7,0,0
Haralson County,7,0,0
Habersham County,10,0,0
Greene County,9,0,0
Gilmer County,4,0,0
Franklin County,9,0,0
Fannin County,9,0,0
Evans County,1,0,0
Dooly County,9,0,0
Dawson County,6,0,0
Dade County,10,0,0
Clinch County,7,0,0
Clay County,1,0,0
Chattooga County,13,0,0
Chattahoochee County,9,0,0
Charlton County,1,0,0
Candler County,3,0,0
Calhoun County,4,0,0
Butts County,15,0,0
Brantley County,7,0,0
Berrien County,9,0,0
Baker County,3,0,0
Bacon County,4,0,0
Appling County,3,0,0
Randolph County,35,8,92
Walker County,62,26,74
Forsyth County,85,29,71
Catoosa County,38,31,69
Whitfield County,18,33,67
Gordon County,16,36,64
Telfair County,16,55,45
Hall County,234,60,40
Jeff Davis County,19,62,38
Polk County,134,65,35
Madison County,29,70,30
Jones County,36,72,28
Barrow County,133,72,28
Cherokee County,449,75,25
Floyd County,952,76,24
Lee County,44,80,20
Thomas County,96,82,18
Columbia County,75,82,18
Bartow County,100,82,18
Meriwether County,18,83,17
Elbert County,27,83,17
Carroll County,802,84,16
Ware County,171,85,15
Laurens County,189,85,15
Bleckley County,19,85,15
Dodge County,56,87,13
Coffee County,46,87,13
Camden County,152,87,13
Clarke County,386,88,12
Walton County,342,90,10
Upson County,43,90,10
Troup County,113,90,10
Lowndes County,822,90,10
Houston County,1335,90,10
Glynn County,765,90,10
Crawford County,31,90,10
Cobb County,2767,90,10
Wayne County,16,91,9
Liberty County,224,92,8
Grady County,19,92,8
Cook County,19,92,8
Worth County,40,93,7
Turner County,21,93,7
Jasper County,21,93,7
Baldwin County,62,93,7
Spalding County,483,94,6
Muscogee County,3914,94,6
Lanier County,25,94,6
Effingham County,116,94,6
Coweta County,497,94,6
Bryan County,50,94,6
Richmond County,4121,95,5
Pulaski County,60,95,5
Gwinnett County,3301,95,5
Fayette County,95,95,5
Emanuel County,28,95,5
Rockdale County,455,96,4
Peach County,138,96,4
Paulding County,309,96,4
Douglas County,737,96,4
Colquitt County,72,96,4
Bulloch County,103,96,4
Sumter County,717,97,3
Newton County,1127,97,3
Mitchell County,47,97,3
Fulton County,22140,97,3
Dougherty County,1184,97,3
Chatham County,3362,97,3
Bibb County,3631,97,3
Tift County,68,98,2
McDuffie County,180,98,2
Henry County,1274,98,2
DeKalb County,7050,98,2
Crisp County,84,98,2
Clayton County,2062,98,2
Wilkes County,18,100,0
Toombs County,22,100,0
Terrell County,65,100,0
Taylor County,34,100,0
Morgan County,32,100,0
Marion County,19,100,0
Hancock County,44,100,0
Early County,38,100,0
Decatur County,19,100,0
Burke County,47,100,0
Brooks County,29,100,0
Ben Hill County,19,100,0
