Name,Subsidized units available,% Minority,%White Non-Hispanic
Iron County,277,0,0
Beaver County,31,0,0
Summit County,2,0,0
San Juan County,11,0,0
Rich County,3,0,0
Garfield County,1,0,0
Duchesne County,90,10,90
Emery County,87,11,89
Box Elder County,187,11,89
Tooele County,241,13,87
Washington County,313,17,83
Cache County,410,18,82
Grand County,71,20,80
Utah County,2066,21,79
Uintah County,39,21,79
Carbon County,276,22,78
Davis County,1124,25,75
Weber County,1502,29,71
Salt Lake County,6857,36,64
