Name,Subsidized units available,% Minority,%White Non-Hispanic
Polk County,129,0,0
Lincoln County,58,0,0
Chicot County,233,0,0
Arkansas County,453,0,0
Madison County,11,0,0
Searcy County,17,0,100
Montgomery County,26,0,100
Clay County,173,0,100
Stone County,93,1,99
Lawrence County,379,1,99
Izard County,159,1,99
Fulton County,74,1,99
Franklin County,109,1,99
Newton County,36,4,96
Marion County,37,4,96
Logan County,177,4,96
Baxter County,380,4,96
Perry County,46,5,95
Cleburne County,126,5,95
Boone County,631,5,95
Sharp County,158,6,94
Pike County,81,6,94
Crawford County,432,6,94
Van Buren County,72,7,93
Scott County,107,7,93
Grant County,40,7,93
Randolph County,124,9,91
Carroll County,122,11,89
Sevier County,29,13,87
Johnson County,194,13,87
Independence County,259,14,86
Yell County,95,16,84
White County,453,21,79
Lonoke County,728,22,78
Benton County,556,22,78
Poinsett County,261,25,75
Greene County,720,25,75
Pope County,386,26,74
Washington County,832,27,73
Jackson County,275,35,65
Monroe County,32,36,64
Sebastian County,1759,39,61
Conway County,186,39,61
Prairie County,25,47,53
Garland County,1028,47,53
Woodruff County,282,49,51
Faulkner County,373,50,50
Hot Spring County,49,53,47
Saline County,723,56,44
Clark County,218,64,36
Calhoun County,20,64,36
Lafayette County,21,65,35
Howard County,59,66,34
Drew County,270,70,30
Cross County,237,70,30
Craighead County,1326,73,27
Ouachita County,68,77,23
Ashley County,224,80,20
Nevada County,78,82,18
Hempstead County,183,82,18
Bradley County,70,82,18
Little River County,53,85,15
Miller County,843,86,14
Dallas County,33,87,13
Desha County,344,90,10
Pulaski County,5934,91,9
Union County,411,93,7
St. Francis County,591,93,7
Mississippi County,628,93,7
Columbia County,101,94,6
Lee County,294,95,5
Phillips County,407,97,3
Jefferson County,1094,97,3
Crittenden County,569,97,3
