Name,Subsidized units available,% Minority,%White Non-Hispanic
Gilliam County,4,0,0
Sherman County,15,0,100
Tillamook County,163,3,97
Wallowa County,55,4,96
Grant County,59,4,96
Morrow County,27,5,95
Crook County,91,5,95
Douglas County,809,6,94
Harney County,55,7,93
Columbia County,633,7,93
Baker County,269,7,93
Lake County,50,8,92
Union County,530,9,91
Lincoln County,548,9,91
Coos County,737,9,91
Clatsop County,358,9,91
Curry County,152,10,90
Deschutes County,1186,11,89
Wasco County,528,12,88
Josephine County,896,12,88
Linn County,1786,14,86
Umatilla County,319,15,85
Yamhill County,1596,16,84
Jackson County,2431,16,84
Lane County,3324,19,81
Polk County,1084,20,80
Klamath County,931,21,79
Clackamas County,2059,21,79
Benton County,906,21,79
Marion County,4076,27,73
Jefferson County,63,28,72
Malheur County,323,34,66
Washington County,3192,35,65
Hood River County,126,35,65
Multnomah County,12045,52,48
