Name,Subsidized units available,% Minority,%White Non-Hispanic
McKinley County,64,0,0
Union County,11,0,0
Hidalgo County,10,0,0
Harding County,2,0,0
Guadalupe County,11,0,0
DeBaca County,9,0,0
Colfax County,3,0,0
Catron County,8,0,0
Torrance County,53,33,67
Sierra County,190,33,67
Los Alamos County,90,38,62
Lincoln County,98,38,62
Taos County,443,48,52
Grant County,493,52,48
San Juan County,385,55,45
Eddy County,111,58,42
Luna County,396,59,41
Roosevelt County,139,64,36
Otero County,282,65,35
Valencia County,439,70,30
Santa Fe County,1140,70,30
Quay County,87,70,30
Cibola County,112,73,27
Lea County,186,74,26
Bernalillo County,6621,74,26
Socorro County,142,76,24
Dona Ana County,1656,78,22
Chaves County,1095,78,22
Sandoval County,296,79,21
Curry County,641,79,21
San Miguel County,181,89,11
Rio Arriba County,71,94,6
Mora County,20,94,6
