Name,Subsidized units available,% Minority,%White Non-Hispanic
Okanogan County,408,0,0
San Juan County,14,0,0
Garfield County,3,0,0
Ferry County,37,3,97
Pend Oreille County,95,4,96
Wahkiakum County,43,5,95
Jefferson County,128,6,94
Stevens County,210,7,93
Klickitat County,208,9,91
Grays Harbor County,641,9,91
Lewis County,279,11,89
Asotin County,220,11,89
Skamania County,141,12,88
Clallam County,775,12,88
Cowlitz County,1381,13,87
Whitman County,280,14,86
Pacific County,128,14,86
Mason County,120,14,86
Island County,324,14,86
Columbia County,42,14,86
Chelan County,514,14,86
Kittitas County,234,17,83
Douglas County,177,17,83
Spokane County,5075,20,80
Whatcom County,1915,22,78
Grant County,236,22,78
Lincoln County,14,23,77
Walla Walla County,1039,25,75
Thurston County,2251,26,74
Clark County,3323,26,74
Snohomish County,7473,29,71
Skagit County,676,30,70
Benton County,1275,30,70
Kitsap County,2221,31,69
Yakima County,1063,43,57
Pierce County,8242,49,41
Franklin County,182,50,50
King County,23925,63,37
