Name,Subsidized units available,% Minority,%White Non-Hispanic
Richmond County,7,0,0
Rappahannock County,3,0,0
Powhatan County,8,0,0
Alexandria city County,2025,91,9
New Kent County,3,0,0
Middlesex County,7,0,0
Mecklenburg County,9,0,0
Mathews County,4,0,0
Lunenburg County,1,0,0
King and Queen County,9,0,0
Cumberland County,11,0,0
Caroline County,8,0,0
Brunswick County,1,0,0
Botetourt County,7,0,0
Amelia County,2,0,0
Craig County,19,0,100
Smyth County,249,2,98
Scott County,211,2,98
Giles County,100,2,98
Dickenson County,235,2,98
Buchanan County,113,2,98
Lee County,537,3,97
Russell County,101,4,96
Wise County,899,6,94
Bristol city County,335,26,74
Washington County,281,8,92
Page County,32,14,86
Tazewell County,276,16,84
Rockbridge County,76,16,84
Buena Vista city County,47,19,81
Carroll County,131,17,83
Wythe County,160,18,82
Patrick County,48,18,82
Charlottesville city County,715,66,34
Shenandoah County,129,20,80
Alleghany County,31,21,79
Rockingham County,240,22,78
Madison County,29,23,77
Grayson County,70,25,75
Floyd County,21,26,74
Chesapeake city County,1838,92,8
Pulaski County,259,32,68
Montgomery County,400,33,67
Colonial Heights city County,190,89,11
Covington city County,31,33,67
Clarke County,26,33,67
Danville city County,1264,92,8
Emporia city County,33,97,3
Greene County,113,38,62
Fairfax city County,62,72,28
Falls Church city County,101,74,26
Franklin County,81,41,59
Warren County,125,43,57
Augusta County,174,46,54
Franklin city County,282,97,3
Frederick County,74,48,52
Bedford County,53,49,51
Nelson County,54,52,48
Louisa County,62,53,47
Roanoke County,274,54,46
Hanover County,293,55,45
Fredericksburg city County,359,68,32
Orange County,112,58,42
Fauquier County,154,59,41
Culpeper County,201,61,39
Gloucester County,122,63,37
Loudoun County,783,64,36
Campbell County,155,65,35
Galax city County,102,33,67
Hampton city County,3218,94,6
Fluvanna County,51,67,33
Harrisonburg city County,704,41,59
Hopewell city County,609,88,12
Amherst County,78,71,29
King George County,20,72,28
James city County,183,81,19
Albemarle County,783,72,28
Henry County,161,73,27
Westmoreland County,34,74,26
Lexington city County,15,7,93
Lynchburg city County,1098,77,23
Manassas city County,248,78,22
Fairfax County,5131,77,23
Manassas Park city County,104,70,30
Stafford County,476,79,21
Buckingham County,103,79,21
Martinsville city County,242,82,18
Prince William County,2116,82,18
Northampton County,143,82,18
Newport News city County,3029,94,6
Appomattox County,78,82,18
Spotsylvania County,861,83,17
Northumberland County,25,83,17
Goochland County,20,83,17
Essex County,57,83,17
Arlington County,1799,83,17
Pittsylvania County,173,85,15
Norfolk city County,5204,95,5
Lancaster County,64,86,14
York County,261,87,13
Dinwiddie County,85,87,13
Norton city County,105,17,83
Accomack County,373,88,12
Prince Edward County,39,88,13
Henrico County,1860,89,11
Petersburg city County,816,98,2
Chesterfield County,1113,91,9
Poquoson city County,10,0,0
Surry County,13,92,8
Portsmouth city County,2693,98,2
Radford city County,117,34,66
Southampton County,40,93,7
Richmond city County,3032,93,7
Prince George County,177,94,6
Roanoke city County,1837,76,24
Isle of Wight County,159,94,6
Salem city County,167,66,34
Staunton city County,158,38,62
Sussex County,111,96,4
Suffolk city County,1118,96,4
Virginia Beach city County,2155,86,14
Waynesboro city County,390,41,59
Williamsburg city County,64,57,43
Winchester city County,215,48,52
King William County,12,100,0
Halifax County,18,100,0
Greensville County,29,100,0
